StockCode,Description,Sentiment,Confidence
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,Neutral,0.8264
79323P,PINK CHERRY LIGHTS,Neutral,0.5814
79323W, WHITE CHERRY LIGHTS,Neutral,0.7099
22041,"RECORD FRAME 7"" SINGLE SIZE ",Neutral,0.8038
21232,STRAWBERRY CERAMIC TRINKET BOX,Neutral,0.8138
22064,PINK DOUGHNUT TRINKET POT ,Neutral,0.7412
21871,SAVE THE PLANET MUG,Neutral,0.6421
21523,FANCY FONT HOME SWEET HOME DOORMAT,Neutral,0.784
22350,CAT BOWL ,Neutral,0.6625
22349,"DOG BOWL , CHASING BALL DESIGN",Neutral,0.8368
22195,HEART MEASURING SPOONS LARGE,Neutral,0.7802
22353,LUNCHBOX WITH CUTLERY FAIRY CAKES ,Neutral,0.6515
48173C,DOOR MAT BLACK FLOCK ,Neutral,0.7467
21755,LOVE BUILDING BLOCK WORD,Positive,0.8923
21754,HOME BUILDING BLOCK WORD,Neutral,0.778
84879,ASSORTED COLOUR BIRD ORNAMENT,Neutral,0.7253
22119, PEACE WOODEN BLOCK LETTERS,Neutral,0.7418
22142,CHRISTMAS CRAFT WHITE FAIRY ,Neutral,0.7767
22296,HEART IVORY TRELLIS LARGE,Neutral,0.6711
22295,HEART FILIGREE DOVE LARGE,Neutral,0.7481
22109,FULL ENGLISH BREAKFAST PLATE,Neutral,0.8809
22107,PIZZA PLATE IN BOX,Neutral,0.7873
22194,BLACK DINER WALL CLOCK,Neutral,0.8605
35004B,SET OF 3 BLACK FLYING DUCKS,Neutral,0.8328
82582,AREA PATROLLED METAL SIGN,Neutral,0.8456
21181,PLEASE ONE PERSON  METAL SIGN,Neutral,0.7354
21756,BATH BUILDING BLOCK WORD,Neutral,0.7007
21333,CLASSIC WHITE FRAME,Negative,0.6614
84596F,SMALL MARSHMALLOWS PINK BOWL,Neutral,0.8661
84596L,BISCUITS SMALL BOWL LIGHT BLUE,Neutral,0.7518
22111,SCOTTIE DOG HOT WATER BOTTLE,Neutral,0.7418
22143,CHRISTMAS CRAFT HEART DECORATIONS,Neutral,0.8503
22145,CHRISTMAS CRAFT HEART STOCKING ,Neutral,0.7256
22130,PARTY CONE CHRISTMAS DECORATION ,Neutral,0.8307
21364,PEACE SMALL WOOD LETTERS,Neutral,0.805
21360,JOY LARGE WOOD LETTERS,Neutral,0.8031
21351,CINAMMON & ORANGE WREATH,Neutral,0.8227
21352,EUCALYPTUS & PINECONE  WREATH,Neutral,0.8051
35400,WOODEN BOX ADVENT CALENDAR ,Neutral,0.7898
20695,FLORAL BLUE MONSTER,Neutral,0.4831
37370,RETRO COFFEE MUGS ASSORTED,Neutral,0.7866
10002,INFLATABLE POLITICAL GLOBE ,Negative,0.8692
84507B,STRIPES DESIGN MONKEY DOLL,Neutral,0.8442
20703,BLUE PADDED SOFT MOBILE,Neutral,0.6593
21987,PACK OF 6 SKULL PAPER CUPS,Neutral,0.8315
21989,PACK OF 20 SKULL PAPER NAPKINS,Neutral,0.8178
84970S,HANGING HEART ZINC T-LIGHT HOLDER,Neutral,0.6639
20971,PINK BLUE FELT CRAFT TRINKET BOX,Neutral,0.8148
22271,FELTCRAFT DOLL ROSIE,Neutral,0.7716
22272,FELTCRAFT DOLL MARIA,Neutral,0.7801
22274,FELTCRAFT DOLL EMILY,Neutral,0.8175
21912,VINTAGE SNAKES & LADDERS,Neutral,0.7495
